12908,12903
25918,25878
39333,39313
52169,52160
65491,65464
51,1
13859,13854
27139,27113
40461,40455
53255,53250
66678,66640
1581,1557
15056,15041
28209,28204
41448,41423
54521,54520
67691,67690
6403,6369
19325,19299
32604,32603
45942,45931
58850,58820
71690,71655
4006,4001
17195,17176
30355,30346
43780,43750
56751,56745
69625,69609
2788,2755
16224,16223
29257,29252
42579,42561
55678,55666
68754,68745
5264,5252
18161,18132
31618,31609
44903,44878
57889,57862
70650,70649
10708,10694
23635,23634
37191,37168
49929,49897
63320,63315
76306,76287
11784,11765
24706,24688
38367,38336
51067,51062
64288,64270
77553,77539
7647,7623
20397,20375
33867,33849
46843,46823
60014,60005
72847,72826
9617,9600
22432,22417
36230,36229
48845,48844
62416,62412
75045,75044
8567,8549
21218,21196
35038,35032
47828,47805
61297,61268
73974,73959
